epoch: 0	train ppl: 599.5476271761507	val ppl: 373.51099036276264	best val: 373.51099036276264	time (s) spent in epoch: 46.837878465652466
epoch: 1	train ppl: 431.13305547854793	val ppl: 303.4867640547841	best val: 303.4867640547841	time (s) spent in epoch: 46.79055833816528
epoch: 2	train ppl: 399.5446398764961	val ppl: 293.0407638925663	best val: 293.0407638925663	time (s) spent in epoch: 46.9502112865448
epoch: 3	train ppl: 383.3418763291764	val ppl: 279.37631487825604	best val: 279.37631487825604	time (s) spent in epoch: 46.821393728256226
epoch: 4	train ppl: 371.515090471557	val ppl: 281.20908110279333	best val: 279.37631487825604	time (s) spent in epoch: 46.849501848220825
epoch: 5	train ppl: 362.77684945005996	val ppl: 273.20459713002134	best val: 273.20459713002134	time (s) spent in epoch: 46.8787043094635
epoch: 6	train ppl: 356.27559841989245	val ppl: 262.2487738208433	best val: 262.2487738208433	time (s) spent in epoch: 46.78596210479736
epoch: 7	train ppl: 350.4012282589611	val ppl: 265.6643499365006	best val: 262.2487738208433	time (s) spent in epoch: 46.893606185913086
epoch: 8	train ppl: 346.6000831494029	val ppl: 259.9939164236	best val: 259.9939164236	time (s) spent in epoch: 46.89947247505188
epoch: 9	train ppl: 343.26357860332985	val ppl: 260.37295186874616	best val: 259.9939164236	time (s) spent in epoch: 46.883079528808594
epoch: 10	train ppl: 339.9344317667226	val ppl: 255.64790134607495	best val: 255.64790134607495	time (s) spent in epoch: 46.88482332229614
epoch: 11	train ppl: 337.3199849660087	val ppl: 255.36920216857675	best val: 255.36920216857675	time (s) spent in epoch: 46.86409568786621
epoch: 12	train ppl: 335.20788068315795	val ppl: 253.76542190213976	best val: 253.76542190213976	time (s) spent in epoch: 46.84057116508484
epoch: 13	train ppl: 333.256357128059	val ppl: 253.74944055466932	best val: 253.74944055466932	time (s) spent in epoch: 46.79371690750122
epoch: 14	train ppl: 330.5744239568084	val ppl: 252.9660157853236	best val: 252.9660157853236	time (s) spent in epoch: 46.8537118434906
epoch: 15	train ppl: 327.984478756858	val ppl: 253.49350859951792	best val: 252.9660157853236	time (s) spent in epoch: 46.93899869918823
epoch: 16	train ppl: 326.8082775491833	val ppl: 251.31116733307843	best val: 251.31116733307843	time (s) spent in epoch: 46.877073526382446
epoch: 17	train ppl: 324.5384302131766	val ppl: 254.01678681508102	best val: 251.31116733307843	time (s) spent in epoch: 46.842735052108765
epoch: 18	train ppl: 321.4755978330245	val ppl: 255.17669915762926	best val: 251.31116733307843	time (s) spent in epoch: 46.80486702919006
epoch: 19	train ppl: 319.89570834061243	val ppl: 256.55533239075356	best val: 251.31116733307843	time (s) spent in epoch: 46.84538221359253
epoch: 20	train ppl: 317.8964301714053	val ppl: 255.69078673072212	best val: 251.31116733307843	time (s) spent in epoch: 46.86183476448059
epoch: 21	train ppl: 315.0618902487593	val ppl: 257.016840856216	best val: 251.31116733307843	time (s) spent in epoch: 46.893471002578735
epoch: 22	train ppl: 313.6373482766974	val ppl: 256.4851950243189	best val: 251.31116733307843	time (s) spent in epoch: 46.90252685546875
epoch: 23	train ppl: 311.5336538110286	val ppl: 256.63932628130436	best val: 251.31116733307843	time (s) spent in epoch: 46.87715530395508
epoch: 24	train ppl: 308.5447059281953	val ppl: 253.02401136463112	best val: 251.31116733307843	time (s) spent in epoch: 46.85994815826416
epoch: 25	train ppl: 306.6418422377313	val ppl: 254.54154170737246	best val: 251.31116733307843	time (s) spent in epoch: 46.851181745529175
epoch: 26	train ppl: 304.5770472903095	val ppl: 257.4170730544071	best val: 251.31116733307843	time (s) spent in epoch: 46.80946111679077
epoch: 27	train ppl: 302.3338749190266	val ppl: 251.94987491769018	best val: 251.31116733307843	time (s) spent in epoch: 46.813607692718506
epoch: 28	train ppl: 299.86724947367725	val ppl: 258.1303171295686	best val: 251.31116733307843	time (s) spent in epoch: 46.80162572860718
epoch: 29	train ppl: 297.9068937777334	val ppl: 259.52699385837906	best val: 251.31116733307843	time (s) spent in epoch: 46.8720064163208
epoch: 30	train ppl: 295.7350616846814	val ppl: 254.12267873970228	best val: 251.31116733307843	time (s) spent in epoch: 46.88912320137024
epoch: 31	train ppl: 292.77517265940577	val ppl: 262.95541561622167	best val: 251.31116733307843	time (s) spent in epoch: 46.76986217498779
epoch: 32	train ppl: 290.9154575187159	val ppl: 258.03913696751744	best val: 251.31116733307843	time (s) spent in epoch: 46.79229950904846
epoch: 33	train ppl: 288.30742773018164	val ppl: 255.17370010886646	best val: 251.31116733307843	time (s) spent in epoch: 46.80031776428223
epoch: 34	train ppl: 286.3672096872709	val ppl: 260.46942200401116	best val: 251.31116733307843	time (s) spent in epoch: 46.89001154899597
epoch: 35	train ppl: 284.29811556945674	val ppl: 254.45530618313776	best val: 251.31116733307843	time (s) spent in epoch: 46.82454991340637
epoch: 36	train ppl: 282.33825842088686	val ppl: 254.4005189184373	best val: 251.31116733307843	time (s) spent in epoch: 46.827950954437256
epoch: 37	train ppl: 280.7319999188414	val ppl: 251.47523435445257	best val: 251.31116733307843	time (s) spent in epoch: 46.82645392417908
epoch: 38	train ppl: 277.99068079152823	val ppl: 255.3496536894308	best val: 251.31116733307843	time (s) spent in epoch: 46.78170919418335
epoch: 39	train ppl: 275.0872425736081	val ppl: 255.86465441436863	best val: 251.31116733307843	time (s) spent in epoch: 46.810054302215576
